Element,METALLOGENIC PROVINCE,LOCALITY,STATE,TOPOSHEET,LATITUDE,LONGITUDE,COMMODITY,HOSTROCK,MORPHOGENESIS,FORMATION,METALLOGENESIS,LATDD,LONDD
Iron,,ROWGHAT,CHATTISGARH,65 E,19 45-56 N,81 05-13 E,Iron,"BHQ,METAPELITE,METAVOLCANICS",VOLCANOSEDIMENTARY-BEDDED,BAILADILA Gp.,ROWGHAT BELT,19.9,81.1666666667
Iron,,HALKUNDI-HONNAHALI,KARNATAKA,57 A,15 05-06 N,76 47-53 E,Iron,"BHQ,METAVOLCANICS,METAARGILLITE",VOLCANOSEDIMENTARY-BEDDED,EASTERN GREENSTONE,SANDUR BELT-BELLARY SECTOR,15.1,76.8666666667
Iron,,BELEGAL-HARAGONDONA,KARNATAKA,57 A,15 04-07 N,76 40-45 E,Iron,"BHQ,METAVOLCANICS,METAPELITE",VOLCANOSEDIMENTARY-BEDDED,EASTERN GREENSTONE,SANDUR BELT-BTV RANGE,15.1,76.7333333333
Iron,,VITTALPURAM,KARNATAKA,57 A,15 10 N,76 30 E,Iron,"BHQ,METAVLCANICS,METAPELITE",VOLCANOSEDIMENTARY-BEDDED,EASTERN GREENSTONE,SANDUR BELT-BTV RANGE,15.1666666667,76.5
Iron,,DONIMALAI,KARNATAKA,57 A,15 02-05 N,76 36-38 E,Iron,"BHQ,METAPELITE,METAVOLCANICS",BEDDED,DHARWAR(SANDUR SCH.),SANDUR BELT-KUMARSWAMI-DONIMAL,15.05,76.6166666667
Iron,,KALLAHALLI,KARNATAKA,57 A,15 13 N,76 25 E,Iron,"BHQ,METAPELITE,METAVOLCANICS",VOLCANOSEDIMENTARY-BEDDED,EASTERN GREENSTONE,SANDUR SCHIST BELT-NEB RANGE,15.2166666667,76.4166666667
Iron,,KUMARSWAMI,"KARNATAKA, A.P","57 A, 57 B",14 55-15 02N,76 55E,Iron,"BHQ,METAPELITE,METAVOLCANICS",BEDDED,DHARWAR(SANDUR),SANDUR-KUMARSWAMI-DONIMALAI RANGE,14.9166666667,76.9166666667
Iron,,NAVALUTTI,KARNATAKA,57 A,15 25 N,76 38 E,Iron,"BHQ,METAPELITE,METAVOLCANICS(SANDUR SCH)",VOLCANOSEDIMENTARY-BEDDED,E.GREENSTONE BELT,SANDUR-KUMARSWAMI-DONIMALAI RANGE,15.4166666667,76.6333333333
Iron,,NARAYANPURA,KARNATAKA,57 A,15 30 N,76 45 E,Iron,"BHQ,METAPELITE,METAVOLCANICS",BEDDED-VOLCANOSEDIMENTARY,DHARWAR(SANDUR SCH.),SANDUR-UBBALAGUNDI RANGE,15.5,76.75
Iron,,AJJUR,TAMILNADU,58 A,11 26N,76 48E,Iron,BMQ,CONCORDANT,GRANULITE,SATYAMANGALAM-AJJUR(GRANULITE) BELT,11.4333333333,76.8
Iron,,DEVALA,TAMILNADU,58 A,11 28N,76 38E,Iron,BMQ IN CHARNOCKITE,CONCORDANT,GRANULITE,SATYAMANGALAM-AJJUR(GRANULITE) BELT,11.4666666667,76.6333333333
Iron,,SATYAMANGALAM,TAMILNADU,58 E,11 25-11 28N,77 05-77 15E,Iron,PYROXENITE-DUNITE-AMPHIBOLITE,CONCORDANT,SATYAMANGALAM SCHIST,SATYAMANGLAM-AJJUR BELT,11.45,77.1666666667
Iron,,DONI,KARNATAKA,48 I,15 18 N,74 44 E,Iron,"BHQ,METAPELITE,METAVOLCANICS",VOLCANOSEDIMENTARY-BEDDED,DHARWAR Sgp.,SHIMOGA BELT,15.3,74.7333333333
Iron,,KOTEBARA,KARNATAKA,48 K,13 53 N,74 49 E,Iron,"METAPELITE,METAVOLCANICS,BFQ",VOLCANOSEDIMENTARY-BEDDED,DHARWAR,SHIMOGA BELT,13.8833333333,74.8166666667
Iron,,JAYAPURA,KARNATAKA,48 O,13 21-13 30N,75 22-75 25E,Iron,BMQ IN METAVOLCANICS - METASEDIMENTS,CONCORDANT,CHITRADURGA BELT Gp.,SHIMOGA SCHIST BELT,13.4666666667,75.4
Iron,,BALLALAYAYANADURG,KARNATAKA,48 O,13 07-22N,75 21-26E,Iron,METASEDIMENTS-METAVOLCANICS,CONCORDANT,BABABUDAN Gp.,WESTERN GHAT BELT,13.2666666667,75.4
Iron,,KUDERMUKH,KARNATAKA,48 O,13 17N,75 10-75 20E,Iron,BMQ IN METASEDIMENTS- METAVOLCANICS,CONCORDANT,BABABUDAN Gp.,WESTERN GHAT BELT,13.2833333333,75.25
Iron,,SURJAGARH,MAHARASTRA,65 A,19 37 N,80 21 E,Iron,"BMQ,QUARTZITE,PHYLLITE",BEDDED,BAILADILA Gp.,WURRYA HILL RANGE,19.6166666667,80.35
Lead-Zinc,,KAREMPUDI,ANDHRA PRADESH,56 P,16 23 30 N,79 40 24 E,Lead-Zinc,DOLOMITE,ENECHELON LODE-STRATABOUND-SEDIMENTARY,CUMBUM(NALLAMALAI),AGNIGUNDLA BELT,,
Lead-Zinc,,GHUGRA-KAYAR,RAJASTHAN,45 J,26 31 26 32N,74 40-74 41E,Lead-Zinc,"DOLOMITE,QTZT,QTZ-BIO SCHIST",SHMS-CARBONATE HOSTED,DELHI SUPERGROUP,GHUGRA-KAYAR BELT,,
Lead-Zinc,,BELBATHAN,JHARKHAND,72 P,24 43N,87 18E,Lead-Zinc,TALC-TREMOLITE SCHIST,DISCORDANT VEINS,ENCLAVES IN CHOTANAGPUR GNEISSIC COMPLEX,HESATHU-BELBATHAN BELT,,
Lead-Zinc,,HESATU,JHARKHAND,73 I,23 59N,86 01E,Lead-Zinc,TALC-TREMOLITE SCHIST & GRANULITE,DISCORDANT-HYDROTHERMAL VEINS,ENCLAVES IN CHOTANAGPUR GNEISSIC COMPLEX,HESATHU-BELBATHAN BELT,,
Lead-Zinc,,GADERIAKHERA,RAJASTHAN,45 K,25 26-25 28N,74 38-74 40E,Lead-Zinc,"AMPHIBOLITE,CALCSCHIST,Fe(MAgnetite) ROCK",STRATABOUND-DISSEMINATION,BHILWARA Sgp.,PUR BANERA BELT(EASTERN ZONE),,
Lead-Zinc,,KHERJI-KHERA,RAJASTHAN,45 K,25 07N,74 23E,Lead-Zinc,"DOLOMITE,SCHIST AND QUARTZITE",STRATABOUND-CONCORDANT(THIN BANDS),BHILWARA Sgp.,PUR-BANERA BELT,,
Lead-Zinc,,MALIKHERA,RAJASTHAN,45 K,25 27N,74 37E,Lead-Zinc,"QTZ.-BIO.-MUS.SCHIST,AMPH.-MAG.SCHIST",STRATABOUND CONCORDANT,BHILWARA Sgp.,PUR-BANERA BELT,,
Lead-Zinc,,DEVPURA-BANERA,RAJASTHAN,45 K,25 27N,74 38E,Lead-Zinc,SCHIST AND AMPHIBOLITE,STRATABOUND-CONCORDANT,BHILWARA Sgp.,PUR-BANERA BELT (EASTERN ZONE),,
Lead-Zinc,,DEVPURA-RANNINGPURA,RAJASTHAN,45 K,25 27N,74 38E,Lead-Zinc,QUARTZ-AMPHIBOLE-Fe(MAgnetite) GNEISS,STRATABOUND-CONCORDANT,BHILWARA Sgp.,PUR-BANERA BELT(EASTERN ZONE),,
Lead-Zinc,,MALIKHERA,RAJASTHAN,45 K,25 27N,74 37E,Lead-Zinc,"GAR-BIO.SCHIST,MARBLE,Fe(MAgnetite) ROCK",STRATABOUND-CONCORDANT,BHILWARA Sgp.,PUR-BANERA BELT(EASTERN ZONE),,
Lead-Zinc,,TIRANGA,RAJASTHAN,45 K,25 19N,74 32E,Lead-Zinc,SCHIST AND AMPHIBOLITE,STRATABOUND-CONCORDANT,BHILWARA Sgp.,PUR-BANERA BELT(EASTERN ZONE),,
Lead-Zinc,,SAMODI,RAJASTHAN,45 K,25 21N,74 33E,Lead-Zinc,"Qtz.-Bio.SCHIST,CALC SCHIST,Fe(MAgnetite)",STRATABOUND-CONCORDANT,BHILWARA Sgp.,PUR-BANERA BELT(EASTERN ZONE),,
Lead-Zinc,,BETHUMNI,RAJASTHAN,45 K,25 04N,74 11E,Lead-Zinc,DOLOMITE,SHEET LIKE/LENSOID STRATABOUND-CONCORDANT,BHILWARA Sgp.,RAJPURA-DARIBA-BETHUMNI BELT,,
Lead-Zinc,,DARIBA-RAJPURA,RAJASTHAN,45 L,24 57-24 58N,74 08E,Lead-Zinc,DOLOMITE AND GRAPHITE SCHIST,SHEET LIKE/LENSOID STRATABOUND-CONCORDANT,BHILWARA Sgp.,RAJPURA-DARIBA-BETHUMNI BELT,,
Lead-Zinc,,SINDESWARKALAN,RAJASTHAN,45 K,25 02N,74 09E,Lead-Zinc,DOLOMITE AND GRAPHITE SCHIST,SHEET LIKE/LENSOID STRATABOUND-CONCORDANT,BHILWARA Sgp.,RAJPURA-DARIBA-BETHUMNI BELT,,
Lead-Zinc,,SARGIPALLI,ORISSA,64 N,22 03N,83 55E,Lead-Zinc,GARNETIFEROUS MICA SCHIST,STRATABOUND-REMOBILISED,GANGpUR Gp.,SARGIPALLI BELT,,
Lead-Zinc,,SAWAR,RAJASTHAN,45 O,25 47N,75 20E,Lead-Zinc,"DOLOMITE,SCHIST QUARTZITE",STRATABOUND-CONCORDANT,BHILWARA Sgp.,SAWAR BELT,,
Lead-Zinc,,TIKHI,RAJASTHAN,45 O,25 46N,75 14E,Lead-Zinc,"DOLOMITE,SCHIST QUARTZITE",STRATABOUND-CONCORDANT,BHILWARA Sgp.,SAWAR BELT,,
Lead-Zinc,,GOLLAPALLE,ANDHRA PRADESH,73 J,14 45 30 N,78 54 20 E,Lead-Zinc,"DOLOMITE,SLATES,CHERTS",STRATABOUND-CONCORDANT,CUMBUM SLATES,VARIKUNTA-ZANGAMARAJUPALLE,,
Lead-Zinc,,ZANGAMARAZUPALLE,ANDHRA PRADESH,73 J,14 46 N,78 53 E,Lead-Zinc,DOLOMITE,STRATABOUND-CONCORDANT,CUMBUM,VARIKUNTA-ZANGAMARAZUPALLE,,
Lead-Zinc,,BALARIA,RAJASTHAN,45 H,24 21N,73 44E,Lead-Zinc,DOLOMITE-CHERTY QUARTZITE,STRATABOUND-CONCORDANT,UDAIPUR Gp.,ZAWAR BELT,,
Lead-Zinc,,BAROI MOGRA,RAJASTHAN,45 H,24 20N,73 42E,Lead-Zinc,DOLOMITE,STRATABOUND-CONCORDANT,UDAIPUR Gp.,ZAWAR BELT,,
Lead-Zinc,,MOCHIA,RAJASTHAN,45 H,24 21-22N,73 42-43E,Lead-Zinc,DOLOMITE,STRATABOUND-DISSEMINATION/STRINGERS,UDAIPUR Gp.,ZAWAR BELT,,
Lead-Zinc,,PADUNA,RAJASTHAN,45 H,24 16N,73 40E,Lead-Zinc,"DOLOMITE,CHERTY QUARTZITE",STRATABOUND-DISSEMINATION/STRINGERS,UDAIPUR Gp.,ZAWAR BELT,,
Lead-Zinc,,SONARIA-RUPARIA,RAJASTHAN,45 H,24 19-24 21N,73 41-73 44E,Lead-Zinc,DOLOMITE,STRATABOUND-DISSEMINATION/STRINGERS,UDAIPUR Gp.,ZAWAR BELT,,
Lead-Zinc,,ZAWARMALA,RAJASTHAN,45 H,24 19N,73 41E,Lead-Zinc,"DOLOMITE,QUARTZITE,CONGLOMERATE",STRATABOUND-DISSEMINATION/STRINGERS,UDAIPUR Gp.,ZAWAR BELT,,
Lead-Zinc,,BUNIYAR,JAMMU & KASHMIR,43 J,34 08N,74 11E,Lead-Zinc,"QUARTZ SERICITE SCHIST,CHLORITE SCHIST",STRATABOUND-DISCORDANT,BUNIYAR Fm..,OTHER,,
Lead-Zinc,,CHELIMA,ANDHRA PRADESH,57 I,15 30 N,78 40 E,Lead-Zinc,BRECCIATED DOLOMITE,STRATABOUND-CONCORDANT,BAIRANKONDA QUARTZITE (CUMBUM FM.),CHELIMA BELT,,
Lead-Zinc,,GARUBATHAN,WEST BENGAL,78 B,26 58-27 00N,88 38-88 45E,Lead-Zinc,"QUARTZ-Fe(MAgnetite) ROCK,CHLORITE SCHIST",STRATABOUND-CONCORDANT,BUXA Gp.,OTHER,,
Lead-Zinc,,SERSANDU,JAMMU & KASHMIR,43 K,33 08N,74 53E,Lead-Zinc,"CHERTY DOLOMITE,LIMESTONE",STRATABOUND-SEDIMENTARY,SIRBAN LIMESTONE Fm..,OTHER,,
Lead-Zinc,,SHERGAON,ARUNACHAL PRADESH,83 A,27 07N,92 15E,Lead-Zinc,DOLOMITE,STRATABOUND-CONCORDANT,DEDJA Fm..,OTHER,,
Manganese,,BALAGHAT,CHATTISGARH,64 C,21 49N,80 10E,Manganese,"PHYLLITE,QUARTZITE",BEDDED-CONCORDANT,LOHANGI Fm..,BALAGHAT BELT,21.8166666667,80.1666666667
Manganese,,HARENABALLI,KARNATAKA,57 C,13 19N,76 43E,Manganese,METAVOLCANICS-METASEDIMENTS,VOLCANOSEDIMENTARY-BEDDED,BABABUDAN (DHARWAR),CHITRADURGA BELT,13.3166666667,76.7166666667
Manganese,,HULLIKATTE,KARNATAKA,57 B,14 30N,76 07E,Manganese,"BFQ,PHYLLITE",VOLCANOSEDIMENTARY-BEDDED,BABABUDAN (DHARWAR),CHITRADURGA BELT,14.5,76.1166666667
Manganese,,KAREKUCHI,KARNATAKA,57 C,13 20 N,76 42 10 E,Manganese,"BHQ,METAPELITE,METAVOLCANICS",VOLCANOSEDIMENTARY-BEDDED,BABABUDAN (DHARWAR),CHITRADURGA BELT,13.3333333333,76.7027777778
Manganese,,DEVADA,ANDHRA PRADESH,65 N,18 16N,83 33E,Manganese,KHONDALITE,SEDIMENTARY-BEDDED,EASTERN GHAT Sgp.,EASTERN GHAT BELT,18.2666666667,83.55
Manganese,,GARBHAM,ANDHRA PRADESH,65 N,18 22-18 23N,83 27-83 30E,Manganese,KHONDALITE,SEDIMENTARY-BEDDED,EASTERN GHAT Sgp.,EASTERN GHAT BELT,18.3666666667,83.4833333333
Manganese,,NISHIKHAL,ORISSA,65 M,19 13N,83 13E,Manganese,KHONDALITE,SEDIMENTARY-BEDDED,EASTERN GHAT Sgp.,EASTERN GHAT BELT,19.2166666667,83.2166666667
Manganese,,CODGUI,GOA,48 I,15 30 30N,74 08E,Manganese,LATERITE,SUPERGENE ENRICHMENT,DHARWAR Sgp.,GOA Fe - Mn PROVINCE,15.5083333333,74.1333333333
Manganese,,COLAMBA,GOA,48 I,15 07-15 09N,74 07 00-42E,Manganese,MANGANIFEROUS PHYLLITE,LATERITISED,DHARWAR Sgp.,GOA Fe - Mn PROVINCE,15.1333333333,74.1166666667
Manganese,,SULKORNA,GOA,48 I,15 05-06N,74 10-11E,Manganese,MANGANIFEROUS PHYLLITE,BEDDED-SEDIMENTARY,DHARWAR Sgp.,GOA Fe - Mn PROVINCE,15.0,74.1666666667
Manganese,,PIMPERGUDA-PIMPERKUNTA,ANDHRA PRADESH,56 I,19 44N,78 28E,Manganese,"LIMESTONE,SHALE,CHERT",BEDDED-SEDIMENTARY,PENGANGA Gp.,GODAVARI RIFT BELT,19.7333333333,78.4666666667
Manganese,,PIMPERKUNTA,ANDHRA PRADESH,56 I,19 45N,78 28E,Manganese,"LIMESTONE,SHALE,CHERT",BEDDED-SEDIMENTARY,PENGANGA Gp.,GODAVARI RIFT BELT,19.75,78.4666666667
Manganese,,KOIRA,ORISSA,73 G,21 54N,85 15E,Manganese,"SHALE,TUFFACEOUS SHALE",VOLCANOSEDIMENTARY-BEDDED,BONAI Gp.,JAMDA-KOIRA BELT,21.9,85.25
Manganese,,KATSAI,ORISSA,73 G,21 50N,85 21E,Manganese,TUFFACEOUS SHALE,BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.,NOAMUNDI-JAMDA BELT,21.8333333333,85.35
Manganese,,ROIDA,ORISSA,73 F,22 01N,85 22,Manganese,TUFFACEOUS SHALE,BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.,NOAMUNDI-JAMDA SECTOR,22.0166666667,85.3666666667
Manganese,,SARAMDAH-BHADRASAI,ORISSA,73 F,22 03N,85 24E,Manganese,TUFFACEOUS SHALE,BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.,NOAMUNDI-JAMDA SECTOR,22.05,85.4
Manganese,,SARKUNDA,ORISSA,73 G,21 49N,85 09E,Manganese,METASEDIMENTS-METAVOLCANICS,BEDDED-VOLCANOSEDIMENTARY,IRON OREGROUP,NOAMUNDI-JAMDA SECTOR,21.8166666667,85.15
Manganese,,KANIVENALLI,KARNATAKA,57 B,14 57N,76 32-76 35E,Manganese,METASEDIMENTS-METAVOLCANICS,CONCORDANT,EASTERN GREENSTONE,SANDUR SCHIST BELT,14.95,76.5666666667
Manganese,,RAMGAD,KARNATAKA,57 A,15 09N,76 26E,Manganese,METASEDIMENTS - METAVOLCANICS,STRATABOUND,EASTERN GREENSTONE,SANDUR SCHIST BELT,15.15,76.4333333333
Manganese,,BHANDARBOLI,MAHARASTRA,55 O,21 23N,79 27E,Manganese,GONDITE,CONCORDANT,SAUSAR Gp.,SAUSAR BELT,21.3833333333,79.45
Manganese,,DHANSUA-LAUGHAR-JAGANTOLI,MADHYA PRADESH,"64 B, 64 C",22 00N,80 12-80 15E,Manganese,"SCHIST,PHYLLITE",CONCORDANT,LOHANGI Fm.,SAUSAR BELT,22.0,80.2333333333
Manganese,,GUMGAON,MAHARASTRA,55 O,21 19-21 29N,79 03-79 31E,Manganese,SCHIST,CONCORDANT,SAUSAR Gp.,SAUSAR BELT,21.3833333333,79.3333333333
Manganese,,JUNEWANI,MAHARASTRA,55 O,21 27N,79 16E,Manganese,CALC GNEISS AND SCHIST,CONCORDANT,SAUSAR Gp.,SAUSAR BELT,21.45,79.2666666667
Manganese,,NETRA,MAHARASTRA,55 O,21 32N,79 59E,Manganese,SCHIST,CONCORDANT,LOHANGI Fm.,SAUSAR BELT,21.5333333333,79.9833333333
Manganese,,PANCHALA,MAHARASTRA,55 O,21 27N,79 46E,Manganese,GONDITE,CONCORDANT,SAUSAR Gp.,SAUSAR BELT,21.45,79.7666666667
Manganese,,PAWNIA,MADHYA PRADESH,55 O,21 43N,79 45E,Manganese,GONDITE-QUARTZITE,CONCORDANT,LOHANGI Fm..,SAUSAR BELT,21.7166666667,79.75
Manganese,,TIRODI,MADHYA PRADESH,55 O,21 41N,79 44E,Manganese,"GONDITE,QUARTZITE",BEDDED-CONCORDANT,LOHANGI Fm..,SAUSAR BELT,21.6833333333,79.7333333333
Manganese,,UKWA,MADHYA PRADESH,64 C,21 58N,80 28E,Manganese,SCHIST AND PHYLLITE,CONCORDANT-TABULAR,LOHANGI Fm.,SAUSAR BELT,21.9666666667,80.4666666667
Manganese,,LAUGHAR-KAMHATOLA,MADHYA PRADESH,64 C,21 50N,80 22E,Manganese,SCHISTS,CONCORDANT,LOHANGI Fm..,SAUSAR BELT,21.8333333333,80.3666666667
Manganese,,ANMOD,GOA,48 I,15 26N,74 18E,Manganese,LATERITE ON VOLCANICS OF GREENSTONE,VOLCANOGENIC-ENRICHED,CHITRADURGA BELT Gp.,SHIMOGA-GOA BELT,15.4333333333,74.3
Manganese,,HATTIKAMBA,KARNATAKA,48 I,15 16N,74 27E,Manganese,LATERITE ON VOLCANOSEDIMENTARY SEQUENCE,SUPERGENE ENRICHMENT,CHITRADURGA BELT Gp.,SHIMOGA-GOA BELT,15.2666666667,74.45
Manganese,,TERALI-BISGOD,GOA,48 I,15 10N,74 22E,Manganese,LATERITE ON VOLCANOSEDIMETS OF GREENSTON,SUPERGENE ENRICHMENT,CHITRADURGA BELT BELT,SHIMOGA-GOA BELT,15.1666666667,74.3666666667
