Element,LOCALITY,STATE,TOPOSHEET,LATITUDE,LONGITUDE,COMMODITY,HOSTROCK,MORPHOGENESIS,FORMATION,METALLOGENESIS,LATDD,LONDD
Aluminum,ARAKU,ORISSA,65 J,18 16 18 22N,82 56 82 59E,Bauxite,CAPPING ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,,
Aluminum,KARNAPODIKONDA,ANDHRA PRADESH,65 N,18 48N,83 05E,Bauxite,CAPPING ON GRANULITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,18.8,83.08333333333333
Aluminum,SIJIMALI,ORISSA,65 M,19 30N,83 08E,Bauxite,CAPPING ON KHONDALITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,19.5,83.13333333333334
Aluminum,PANCHPATMALI,ORISSA,65 J & N,18 46 18 55N,82 57 83 04E,Bauxite,CAPPING ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,,
Aluminum,ANAMINI,ORISSA,65 M,19 51N,83 40E,Bauxite,CAPPING ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,19.85,83.66666666666667
Aluminum,BOPHLIMATTI,ORISSA,65 I,19 18 19 22N,82 57 82 59E,Bauxite,CAPPING ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,,
Aluminum,DUMKONDA,ANDHRA PRADESH,65 G,17 42 17 46N,81 51 81 57E,Bauxite,CAPPINGS ON SILLIMANITE GNEISS,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,,
Aluminum,GANDHAMADAN,ORISSA,64 L,20 50 20 55N,82 30 82 45E,Bauxite,CAPPING ON KHONDALITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,,
Aluminum,GUDEM,ORISSA,65 J,17 48 17 51N,82 08 82 10E,Bauxite,CAPPINGS ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,,
Aluminum,GURLIDU,ANDHRA PRADESH,65 G,17 50 17 52N,81 53 81 55E,Bauxite,CAPPING ON SILLIMANITE GNEISS,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,,
Aluminum,KARLAPAT,ORISSA,65 I,19 37 19 41N,83 09 83 11E,Bauxite,CAPPING ON KHONDALITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,,
Aluminum,KATHAKHAL-MANJIMLI,ORISSA,65 M,19 25N,83 06E,Bauxite,CAPPING ON CHARNOKITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,19.416666666666668,83.1
Aluminum,KISANWALI,ORISSA,65 M,19 40N,83 05E,Bauxite,CAPPING ON KHONDALITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,19.666666666666668,83.08333333333333
Aluminum,KODINGAMALI,ORISSA,65 M,19 04N,83 05E,Bauxite,CAPPING ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,19.066666666666663,83.08333333333333
Aluminum,MALIPARBAT,ORISSA,65 J,18 40N,82 55E,Bauxite,CAPPING ON GRANULITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,18.666666666666668,82.91666666666667
Aluminum,POTANGI,ORISSA,65 J,18 34 18 36N,82 56 82 58E,Bauxite,CAPPING ON GRANULITE/GNEISS,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,,
Aluminum,SASBOHUMALI-PASANGMALI,ORISSA,65 M,19 15 19 20N,83 08 83 15E,Bauxite,CAPPING ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,,
Aluminum,ABDASA,GUJARAT,41 E,23 50N,69 12E,Bauxite,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,KUTCH BELT,23.83333333333333,69.2
Aluminum,DEBAN,GUJARAT,41 E,23 20N,69 05E,Bauxite,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP,KUTCH BELT,23.33333333333333,69.08333333333333
Aluminum,GONIASAR,GUJARAT,41 F,22 58N,69 25E,Bauxite,CAPPING ON MADH FORMATION,RESIDUAL DEPOSIT,MADH Fm.,KUTCH BELT,22.966666666666665,69.41666666666667
Aluminum,HAMLA,GUJARAT,41 E,23 16N,69 21E,Bauxite,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP,KUTCH BELT,23.266666666666666,69.35
Aluminum,KHANAI,GUJARAT,41 E,23 20N,69 04E,Bauxite,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP,KUTCH BELT,23.33333333333333,69.06666666666666
Aluminum,KONTANDA,GUJARAT,41 E,23 09N,69 14E,Bauxite,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP,KUTCH BELT,23.15,69.23333333333333
Aluminum,LAKEND,GUJARAT,41 E,23 15N,69 48E,Bauxite,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP,KUTCH BELT,23.25,69.8
Aluminum,NANGRECHA,GUJARAT,41 E,23 01N,69 12E,Bauxite,CAPPING ON MESO-CENOZOIC COVERS,RESIDUAL DEPOSIT,DECCAN TRAP,KUTCH BELT,23.016666666666666,69.2
Aluminum,KHARGPUR,JHARKHAND,72 L,24 10N,86 27E,Bauxite,CAPPING ON SCHIST,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX,MUNGER BELT,24.166666666666668,86.45
Aluminum,CHANDIPAT,JHARKHAND,73 A,23 18N,84 11E,Bauxite,LATERITE CAPPING ON GNEISSES,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX,PALAMOU-RANCHI PROVINCE,23.3,84.18333333333334
Aluminum,CHIRO,JHARKHAND,73 A,23 27N,84 15E,Bauxite,CAPPING ON GNEISSES,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX,PALAMOU-RANCHI PROVINCE,23.45,84.25
Aluminum,KUKUD,CHATTISGARH,73 A,23 29N,84 00E,Bauxite,CAPPING ON GNEISSES,RESIDUAL DEPOSIT,LATERITE ON CHOTANAGPUR GNEISSIC COMPLEX,PALAMOU-RANCHI PROVINCE,23.48333333333333,84.0
Aluminum,ORSAPAT,JHARKHAND,73 A,23 23N,84 29E,Bauxite,CAPPING ON SCHIST/GNEISSES,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX,PALAMOU-RANCHI PROVINCE,23.383333333333333,84.48333333333333
Aluminum,TAMOLGARH,CHATTISGARH,73 A,23 32N,84 03E,Bauxite,CAPPING ON GNEISSES,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX,PALAMOU-RANCHI PROVINCE,23.53333333333333,84.05
Aluminum,BARKADIH-GHARGHUTA,CHATTISGARH,73 A,23 00N,84 10E,Bauxite,LATERITE CAPPING ON GNEISSES,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX,RANCHI PLATEAU PROVINCE,23.0,84.16666666666667
Aluminum,BHAGLATOLI,JHARKHAND,73 A,23 12N,84 16E,Bauxite,LATERITE CAPPING ON GNEISSES,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX,RANCHI PLATEAU PROVINCE,23.2,84.26666666666667
Aluminum,BIRHNI-GARKHASWAR-AGARDIH,CHATTISGARH,64 M,23 32N,83 33E,Bauxite,CAPPING ON LATERITE OVER DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP ON CHOTANAGPUR GNEISSIC COMPLEX,RANCHI PLATEAU PROVINCE,23.53333333333333,83.55
Aluminum,CHIROPATTOLI,JHARKHAND,73 A,23 24N,84 29E,Bauxite,LATERITE CAPPING ON GNEISSES,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX,RANCHI PLATEAU PROVINCE,23.4,84.48333333333333
Aluminum,LOKIPAT,CHATTISGARH,73 A,23 03N,84 07E,Bauxite,LATERITE,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX,RANCHI PLATEAU PROVINCE,23.05,84.11666666666666
Aluminum,AMPTIPANI,JHARKHAND,73 A,23 22N,84 17E,Bauxite,CAPPING ON SCHIST AND GNEISSES,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX,RANCHI-ADAR PARE PLATEAU,23.366666666666667,84.28333333333333
Aluminum,BANGROBAR,JHARKHAND,73 A,23 35N,84 35E,Bauxite,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX,RANCHI-ADAR PARE PLATEAU,23.58333333333333,84.58333333333333
Aluminum,BOGRU,JHARKHAND,73 A,23 24N,84 36E,Bauxite,LATERITE ON GNEISSES,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX,RANCHI-ADAR PARE PLATEAU,23.4,84.6
Aluminum,GHUGROTOLLI,JHARKHAND,73 A,23 18N,84 25E,Bauxite,CAPPING ON GNEISSES,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX,RANCHI-ADAR PARE PLATEAU,23.3,84.41666666666667
Aluminum,AMARKANTAK,MADHYA PRADESH,64 F,22 44N,81 42E,Bauxite,DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP,AMARKANTAK PLATEAU,22.73333333333333,81.7
Aluminum,CHITTAVATTAM,KERALA,58 D,08 59N,76 40E,Bauxite,CAPPING ON GRANULITE/GNEISSES,RESIDUAL DEPOSIT,SOUTHERN GRANULITE,GRANULITE TERRAIN,8.983333333333333,76.66666666666667
Aluminum,DANDGIRI-KONDIVALI,MAHARASTRA,47 F,18 07N,73 01E,Bauxite,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP,DECCAN TRAP PROVINCE,18.116666666666667,73.01666666666667
Aluminum,DHANGARWADI,MAHARASTRA,47 H,16 55N,73 53E,Bauxite,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP,DECCAN TRAP PROVINCE,16.916666666666668,73.88333333333334
Aluminum,KUVEL,KARNATAKA,48 P,12 39N,75 07E,Bauxite,CAPPING ON GRANULITE,RESIDUAL DEPOSIT,SOUTHERN GRANULITE,GRANULITE TERRAIN,12.65,75.11666666666666
Aluminum,MALWA,MAHARASTRA,47 H,16 26N,73 57E,Bauxite,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP,DECCAN TRAP PROVINCE,16.433333333333334,73.95
Aluminum,PALNI,TAMILNADU,58 F,10 09 10 47N,77 19 77 24E,Bauxite,CAPPING ON GRANULITE,RESIDUAL DEPOSIT,SOUTHERN GRANULITE,GRANULITE TERRAIN,,
Aluminum,RADHANAGIRI,MAHARASTRA,47 H,16 24N,73 50E,Bauxite,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP,DECCAN TRAP PROVINCE,16.4,73.83333333333333
Aluminum,UDGIRI,MAHARASTRA,47 G,17 08N,73 48E,Bauxite,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP,DECCAN TRAP PROVINCE,17.133333333333333,73.8
Baryte,RELPATALIYA,RAJASTHAN,45 H,24 24N,73 51E,Baryte,GNEISSES FLANKED BY METABASICS,"MASSIVE BAND,VEINS",ARAVALLI,ARAVALLI BELT,24.4,73.85
Baryte,CHIMALAPENTA,ANDHRA PRADESH,57 J,14 25N,78 35E,Baryte,"SHEARS WITHIN DOLOMITE,LIMESTONE,TRAP",LENSE ALONG SHEAR,NALLAMALAI Gp(CUDDAPAH Sgp.),CUDDAPAH BASIN,14.416666666666666,78.58333333333333
Baryte,MANGAMPETA,ANDHRA PRADESH,57 N,14 00N,79 19E,Baryte,CARBONACEOUS HORIZON OF PULLAMPET TUFF,STRATIFORM-BEDDED,CUMBUM(CUDDAPAH),CUDDAPAH BASIN,14.0,79.31666666666666
Baryte,VEMULA,ANDHRA PRADESH,57 J,14 20N,78 15E,Baryte,FRACTURED TRAP ROCK,VEIN TYPE DEPOSIT,CHITRAVATI Gp.,CUDDAPAH BASIN,14.333333333333334,78.25
Baryte,JAMRAULI,RAJASTHAN,54 A,27 05N,76 40E,Baryte,QUARTZITE,"FISSURE,VEINS",ALWAR Gp.,DELHI FOLD BELT,27.08333333333333,76.66666666666667
Baryte,GHATTIHOSAHALLI,KARNATAKA,57 C,13 59N,76 17E,Baryte,"FUCHSITE QUARTZITE,AMPHIBOLITE",BEDDED,BABABUDAN(DHARWAR).,GHATTIHOSAHALLI BELT,13.983333333333333,76.28333333333333
Baryte,SUKWARI,MADHYA PRADESH,63 H,24 20N,81 50E,Baryte,"TALC-CHLORITE SCHIST,METADOLERITE","VEINS,FRACTURE FILLING",MAHAKOSHAL Gp.,MAHAKOSHAL BELT,24.33333333333333,81.83333333333333
Diamond,BEJRIPADAR,CHATTISGARH,65 E,19 03N,81 51E,Diamond,KIMBERLITE,MAGMATIC DIFFERENTIATION,INDRAVATI Gp.,BASTAR KIMBERLITE FIELD,19.05,81.85
Diamond,DUSANPAL,CHATTISGARH,65 E,19 01N,81 51E,Diamond,KIMBERLITE,MAGMATIC DIFFERENTIATION,INDRAVATI Gp.,BASTAR KIMBERLITE FIELD,19.016666666666666,81.85
Diamond,PARAKOT,CHATTISGARH,65 E,19 02N,81 54E,Diamond,KIMBERLITE,MAGMATIC DIFFERENTIATION,INDRAVATI Gp.,BASTAR KIMBERLITE FIELD,19.03333333333333,81.9
Diamond,CHELIMA,ANDHRA PRADESH,57 I,15 26N,78 42E,Diamond,KIMBERLITE DIATREME,MAGMATIC DIFFERENTIATION,KUMBUM FORMATION,CHELIMA-ZANGAMARAJUPALLE BELT,15.433333333333334,78.7
Diamond,ZANGAMARAJUPALLE,ANDHRA PRADESH,57 J,14 46N,78 53E,Diamond,KIMBERLITE DIATREME,MAGMATIC DIFFERENTIATION,KUMBUM FORMATION,CHELIMA-ZANGAMARAJUPALLE BELT,14.766666666666667,78.88333333333334
Diamond,KRISHNA,ANDHRA PRADESH,65 D,16 45 17 00N,80 00 80 15E,Diamond,LAMPROITE,MAGMATIC DIFFERENTIATION,CUDDAPAH Sgp.,KRISHNA LAMPROIITE FIELD,,
Diamond,MADDUR-KOTAKONDA,ANDHRA PRADESH,56 H,16 46 16 51N,77 38 77 42E,Diamond,KIMBERLITE,PIPE,PENINSULAR GNEISSIC COMPLEX,MADDUR-KOTAKONDA BELT,,
Diamond,PANNA-MAJHGAWAN-HINOTA,MADHYA PRADESH,63 D,24 46N,80 15E,Diamond,KIMBERLITE DIATREME,MAGMATIC DIFFERENTIATION,VINDHYAN Sgp.,PANNA Di (Diamond) BELT,24.766666666666666,80.25
Diamond,BAHARADIH,CHATTISGARH,64 L,20 13 30N,82 12 13E,Diamond,KIMBERLITE DIATREME,PIPE,KIMBERLITE IN CHATTISGARH,SOUTH RAIPUR KIMBERLITE BELT,20.225,82.20361111111112
Diamond,KADOMALI,CHATTISGARH,64 L,20 11 35N,82 15E,Diamond,KIMBERLITE DIATREME,PIPE,KIMBERLITE IN CHATTISGARH,SOUTH RAIPUR KIMBERLITE BELT,20.19305555555556,82.25
Diamond,PAYALIKHAND,CHATTISGARH,64 L,20 09 45N,82 00 20E,Diamond,PLACER,PLACER,PLACER,SOUTH RAIPUR KIMBERLITE BELT,20.1625,82.00555555555556
Diamond,WAJRAKARUR,ANDHRA PRADESH,"57 E , F",14 05 15 02N,77 18 77 23E,Diamond,"GARNET PERIDOTITE, ECLOGITE,PYROXENITE",MAGMATIC DIFFERENTIATION,KIMBERLITE PIPE,WAJRAKARUR-LATTAVARAM-CHIGICHERLA BELT,,
Gold,BELLARY,KARNATAKA,57 C,13 35N,76 35E,Gold,"METAVOLCANICS,METASEDIMENTS",SHEAR CONTROLLED,CHITRADURGA (DHARWAR),CHITRADURGA BELT,13.583333333333334,76.58333333333333
Gold,C.K.HALLI,KARNATAKA,57B,14 23N,76 22E,Gold,SHEARED ARGILLITE,SHEAR CONTROLLED,CHITRADURGA (DHARWAR),CHITRADURGA BELT,14.383333333333333,76.36666666666666
Gold,G.R.HALLI,KARNATAKA,57 B,14 17N,76 24E,Gold,"SHEARED METABASALTS,CARB.ARGILLITE",AURIFEROUS QUARTZVEIN,CHITRADURGA (DHARWAR),CHITRADURGA BELT,14.283333333333331,76.4
Gold,AJJANAHALLI,KARNATAKA,57 C,13 45 N,76 44 E,Gold,METAVOLCANICS,BIF HOSTED DEPOSIT,BABABUDAN (DHARWAR),CHITRADURGA BELT,13.75,76.73333333333333
Gold,ATTIKATTI,KARNATAKA,48 M,15 20N,75 39E,Gold,"PHYLLITE,GRAPHITE SCHIST",QUARTZ VEIN AL0NG SHEAR,CHITRADURGA(DHARWAR).,GADAG SCHIST BELT,15.333333333333334,75.65
Gold,HOSUR-YELISHIRUR,KARNATAKA,48 M,15 18 N,75 34 E,Gold,"METAVOLCANICS,PHYLLITE,BMQ",STRATABOUND-CONCORDANT,CHITRADURGA(DHARWAR).,GADAG SCHIST BELT,15.3,75.56666666666666
Gold,KABULIYATKATTI,KARNATAKA,48 M,15 17N,75 40E,Gold,"GREYWACKE,PHYLLITE",QUARTZ VEIN ALONG SHEAR,CHITRADURGA(DHARWAR).,GADAG SCHIST BELT,15.283333333333331,75.66666666666667
Gold,MYSORE,KARNATAKA,48 M,15 14 30 N,75 40 E,Gold,"META ANDESITE,PHYLLITE,BMQ",VEINS/STRINGERS-STRATABOUND,CHITRADURGA(DHARWAR).,GADAG SCHIST BELT,15.241666666666664,75.66666666666667
Gold,SANGLI,KARNATAKA,48 M,15 18N,75 41 30E,Gold,"METASEDIMENTS,METAVOLCANICS",STRATABOUND-SHEAR CONTROL,CHITRADURGA(DHARWAR).,GADAG SCHIST BELT,15.3,75.69166666666668
Gold,KUNDERKOCHA-POROJHARNA,ORISSA,73 J,22 10N,86 16E,Gold,CHERT AND TALC-CHLORITE SCHIST,STRATABOUND-REMOBILISED,GARUMAHISANI Gp.,GARUMAHISANI PROVINCE,22.166666666666668,86.26666666666667
Gold,CHINCHERGI,KARNATAKA,56 D,16 09N,76 47E,Gold,BASIC AND ACID VOLCANICS,DISCORDANT-SHEAR CONTROL,EASTERN GREENSTONE,HUTTI MASKI BELT,16.15,76.78333333333333
Gold,HIRA-BUDINI,KARNATAKA,56 D,16 11N,76 48E,Gold,CONTACT OF MAFIC FELSIC VOLCANICS,DISCORDANT-SHEAR CONTROL,HUTTI Gp.,HUTTI MASKI BELT,16.183333333333334,76.8
Gold,HUTTI,KARNATAKA,56 D,16 11 N,76 39 E,Gold,HORNBLENDE-CHLORITE-BIOTITE SCHIST,STRATABOUND-CONCORDANT,KOLAR Gp.,HUTTI MASKI BELT,16.183333333333334,76.65
Gold,KADONI,KARNATAKA,56 D,16 14N,76 41E,Gold,METABASIC AND QUARTZ-CARBONATE VEIN,DISCORDANT-SHEAR CONTROL,EASTERN GREENSTONE,HUTTI MASKI BELT,16.233333333333334,76.68333333333334
Gold,SANBAL,KARNATAKA,57 A,15 58N,76 44E,Gold,"CHLORITE-ACTINOLITE SCHIST,SERICITE SCH.",REMOBILISED IN QUARTZ VEIN,KOLAR Gp.,HUTTI MASKI BELT,15.966666666666669,76.73333333333333
Gold,TUPPADHUR,KARNATAKA,56 D,16 04N,76 39E,Gold,QUARTZ VEIN IN METABASICS,STRATABOUND-REMOBILISED,EASTERN GREENSTONE,HUTTI MASKI BELT,16.066666666666666,76.65
Gold,UTI,KARNATAKA,56 D,16 22 30 N,76 47 10 E,Gold,QUARTZ VEIN IN METAVOLCANICS,"STRINGERS,VEINLETS OF Qtz",EASTERN GREENSTONE,HUTTI MASKI BELT,16.375,76.78611111111111
Gold,UTI,KARNATAKA,56 D,16 22N,76 46E,Gold,QUARTZ VEIN IN METABASICS,STRATABOUND-REMOBILISED,EASTERN GREENSTONE,HUTTI MASKI BELT,16.366666666666667,76.76666666666667
Gold,WANDALLI,KARNATAKA,56 D,16 13N,76 44E,Gold,BASIC AND ACID VOLCANICS,DISCORDANT-SHEAR CONTROL,EASTERN GREENSTONE,HUTTI MASKI BELT,16.216666666666665,76.73333333333333
Gold,BHUKIA,RAJASTHAN,46 I,23 53N,74 21E,Gold,"DOLOMITE,AMPHIBOLITE,CALC-SILICATE",DISCORDANT-SHEAR CONTROL,DELWARA Gp.,JHAKRA PARSOLA BELT,23.883333333333333,74.35
Gold,DONA,ANDHRA PRADESH,57 E,15 15N,77 35E,Gold,SILICIFIED METABASALT,Au-QUARTZ VEIN IN SHEAR ZONE,DONA Fm.(JONAGIRI Gp),JONAGIRI SCHIST BELT,15.25,77.58333333333333
Gold,DONA,ANDHRA PRADESH,57 E,15 14N,77 35E,Gold,SHEARED GRANODIORITE(D2 DEFORMATION),SHEAR CONTROLLED,JONNAGIRI Gp.,JONNAGIRI SCHIST BELT,15.233333333333333,77.58333333333333
Gold,BISANATTAM,KARNATAKA,57 L,12 53N,78 16E,Gold,QUARTZ VEIN IN AMPHIBOLITE SCHIST,STRATABOUND,EASTERN GREENSTONE,KOLAR BELT,12.883333333333333,78.26666666666667
Gold,CHIGARGUNTA,ANDHRA PRADESH,57 L,12 43N,78 14E,Gold,BASIC AND ACID VOLCANICS,SHEAR CONTROLLED,KOLAR Gp.,KOLAR BELT,12.716666666666669,78.23333333333333
Gold,KOLAR,KARNATAKA,57 L,12 54 57 N,78 15 18 E,Gold,"METAVOLCANICS,CHAMPION GNEISS",STRATABOUND-REMOBILISED,KOLAR Gp.,KOLAR BELT,12.915833333333332,78.255
Gold,KUDITHAINAPALLE,KARNATAKA,57 L,12 49N,78 15E,Gold,QUARTZ REEF IN BASIC AND ACID VOLCANICS,SHEAR CONTROLLED,EASTERN GREENSTONE,KOLAR BELT,12.816666666666666,78.25
Gold,MAHARAJAGADAI,TAMILNADU,57 L,12 38 43 N,78 16 18 E,Gold,"SCHISTS,METABASICS,CHAMPION GNEISS",STRATABOUND-REMOBILISED,KOLAR Gp.,KOLAR BELT,12.645277777777777,78.27166666666666
Gold,MALLAPAKONDA,TAMILNADU,57 L,12 44 30 N,78 13 30 E,Gold,"BFQ,AMPHIBOLITE,CHAMPION GNEISS",BIF HOSTED-CONCORDANT,KOLAR Gp.,KOLAR BELT,12.741666666666664,78.22500000000001
Gold,SURAPALLE,KARNATAKA,57 L,12 55E,78 17N,Gold,METAACID TUFF(CHAMPION GNEISS),CONCORDANT SILICIFIC ZONE,EASTERN GREENSTONE,KOLAR BELT,12.916666666666666,78.28333333333333
Gold,GULALDIH,MADHYA PRADESH,63 L,24 16N,82 47E,Gold,"BIF,GREYWACKE,ARGILLITE",STRATIFORM(BIF-SULPHIDE),AGORI Fm..,MAHAKOSHAL BELT,24.266666666666666,82.78333333333333
Gold,GURHARPAHAR,MADHYA PRADESH,63 L,24 21N,82 45E,Gold,"TUFF,ARGILLITE",EPIGENETIC-VEIN TYPE,"AGORI,PARSOI Fm..",MAHAKOSHAL BELT,24.35,82.75
Gold,IMALIYA,MADHYA PRADESH,64 A,23 37N,80 15E,Gold,SHEAR ZONE IN DOLOMITE,SHEAR CONTROLLED,SLEEMABAD Fm.,MAHAKOSHAL BELT,23.616666666666667,80.25
Gold,KEMPINKOTE,KARNATAKA,57 D,12 54 N,76 31 E,Gold,AURIFEROUS QTZ.LODE IN METAULTRAMAFITES,REMOBILISED QUARTZ VEINS-STRATABOUND,SARGUR Gp.,NUGGIHALLI BELT,12.9,76.51666666666667
Gold,KOTAPALLE,ANDHRA PRADESH,57 F,14 19 14 21N,77 30 77 31E,Gold,METASEDIMENTS AND METAVOLCANICS,STRATABOUND-REMOBILISED,DHARWAR Sgp.,RAMAGIRI BELT,,
Gold,YEPPAMANA,ANDHRA PRADESH,57 F,14 18 19 N,77 30 31 E,Gold,"PHYLLITE,CHLORITE SCHIST(GREENSTONE)",STRATABOUND-CONCORDANT,KOLAR GREENSONE,RAMAGIRI BELT,14.305277777777778,77.50861111111111
Gold,YERAPPA-GENTALLAPPA,ANDHRA PRADESH,57 F,14 18N,77 30E,Gold,METAVOLCANICS-METASEDIMENTS,STRATABOUND-DISCORDANT,DHARWAR Sgp.,RAMAGIRI BELT,14.3,77.5
Gold,PENAKACHERLA-KUDERU,ANDHRA PRADESH,57 F,14 44 14 52N,77 25 77 27E,Gold,"METABASALT,BFQ",QTZ-ANKERITE VEIN,EASTERN GREENSTONE,RAMAGIRI-PENAKACHERLA-HUNGUD BELT,,
Gold,PENUKONDA,ANDHRA PRADESH,57 F,14 06N,77 32E,Gold,"METABASALT,BIF,SERICITE SCHIST",VEINS WITHIN SHEAR ZONES,EASTERN GREENSTONE,RAMAGIRI-PENAKACHERLA-HUNGUD BELT,14.1,77.53333333333333
Gold,CHENNABHAVI,ANDHRA PRADESH,57 F,14 19 14 20N,77 30 77 31E,Gold,METABASITE,AURIFEROUS VEIN IN SHEARS,EASTERN GREENSTONE,RAMAGIRI-PENAKACHERLA-HUNGUD BELT,,
Gold,KOTTAPALLE,ANDHRA PRADESH,57 F,14 20N,77 29E,Gold,"METABASITE,BIF,ACID TUFF",GOLD BEARING QUART VEIN,EASTERN GREENSTONE,RAMGIRI-PUNAKACHERLA-HUNGUD BELT,14.333333333333334,77.48333333333333
Gold,BHADRAMPALLE,ANDHRA PRADESH,57 F,14 53 14 54N,77 24E,Gold,"METABASITE,METAANDESITE,B.H.CHERT",QUARTZ VEIN WITH SULPHIDE,EASTERN GREENSTONE,RAMGIRI-PUNAKACHERLA-HUNGUD BELT,,77.4
Gold,RAMAPURAM,ANDHRA PRADESH,57 F,14 53N,77 22E,Gold,"METABASALT,CHLORITE-ACTINOLITE SCHIST",QUARTZ-SULPHIDE VEINS,EASTERN GREENSTONE,RAMGIRI-PUNAKACHERLA-HUNGUD BELT,14.883333333333333,77.36666666666666
Gold,CHINMULGUND,KARNATAKA,48 N,14 35N,75 24E,Gold,"METASEDIMENTS,BIF",CONCORDANT-BIF HOSTED,CHITRADURGA BELT Gp.,SHIMOGA BELT,14.583333333333334,75.4
Gold,HONNALI,KARNATAKA,48 N,14 14 N,75 39 E,Gold,QUARTZ-CARBONATE VEINS TRAVERSING BIF,STRATABOUND-DISCORDANT,CHITRADURGA BELT,SHIMOGA BELT,14.233333333333333,75.65
Gold,LAWA,JHARKHAND,73 I,23 01N,86 05E,Gold,"METASEDIMENTS,METABASICS",STRATABOUND,SINGBHUM Gp.,SINGBHUM  BELT,23.016666666666666,86.08333333333333
Gold,MYSERA,JHARKHAND,73 I,23 03N,86 01E,Gold,METASEDIMENTS-METAVOLCANICS,STRATABOUND,SINGBHUM Gp.,SINGBHUM  BELT,23.05,86.01666666666667
Gold,PAHARDIHA,JHARKHAND,73 F,22 30N,85 16E,Gold,"CHLORITE SCHIST,QUARTZITE",VEIN-DISCORDANT,SINGBHUM Gp.,SINGBHUM BELT,22.5,85.26666666666667
Gold,SONAKHAN,CHATTISGARH,64 K,21 24N,82 38E,Gold,MAFIC AND ACID VOLCANICS,SHEAR CONTROLLED,SONAKHAN Gp.,SONAKHAN BELT,21.4,82.63333333333334
